t	x	y
9.292000e-1	-1.232751e-1	9.251455e-2
9.294000e-1	-1.234184e-1	8.944064e-2
9.296000e-1	-1.255862e-1	9.255409e-2
9.298000e-1	-1.247548e-1	9.051731e-2
9.300000e-1	-1.240907e-1	8.825844e-2
9.302000e-1	-1.268557e-1	8.654392e-2
9.304000e-1	-1.250572e-1	8.611991e-2
9.306000e-1	-1.217922e-1	8.911539e-2
9.308000e-1	-1.221169e-1	8.592085e-2
9.310000e-1	-1.253729e-1	8.887317e-2
9.312000e-1	-1.220136e-1	9.212555e-2
9.314000e-1	-1.229122e-1	9.359177e-2
9.316000e-1	-1.242511e-1	9.571669e-2
9.318000e-1	-1.259265e-1	9.829342e-2
9.320000e-1	-1.278791e-1	1.011946e-1
9.322000e-1	-1.300672e-1	1.043260e-1
9.324000e-1	-1.324582e-1	1.076123e-1
9.326000e-1	-1.350254e-1	1.109909e-1
9.328000e-1	-1.377460e-1	1.144084e-1
9.330000e-1	-1.406001e-1	1.178188e-1
9.332000e-1	-1.435699e-1	1.211820e-1
9.334000e-1	-1.466392e-1	1.244632e-1
9.336000e-1	-1.497935e-1	1.276316e-1
9.338000e-1	-1.530192e-1	1.306606e-1
9.340000e-1	-1.563039e-1	1.335271e-1
9.342000e-1	-1.596359e-1	1.362110e-1
9.344000e-1	-1.630045e-1	1.386952e-1
9.346000e-1	-1.663993e-1	1.409652e-1
9.348000e-1	-1.698108e-1	1.430088e-1
9.350000e-1	-1.732301e-1	1.448164e-1
9.352000e-1	-1.766486e-1	1.463802e-1
9.354000e-1	-1.800583e-1	1.476944e-1
9.356000e-1	-1.834515e-1	1.487549e-1
9.358000e-1	-1.868212e-1	1.495595e-1
